2023-01-24 16:51:44,208 INFO    StreamThr :28823 [internal.py:wandb_internal():87] W&B internal server running at pid: 28823, started at: 2023-01-24 16:51:44.207801
2023-01-24 16:51:44,211 DEBUG   HandlerThread:28823 [handler.py:handle_request():144] handle_request: status
2023-01-24 16:51:44,213 INFO    WriterThread:28823 [datastore.py:open_for_write():85] open: /home/robotlabx/mtl-world/wandb/run-20230124_165144-drx43tz0/run-drx43tz0.wandb
2023-01-24 16:51:44,213 DEBUG   SenderThread:28823 [sender.py:send():334] send: header
2023-01-24 16:51:44,225 DEBUG   SenderThread:28823 [sender.py:send():334] send: run
2023-01-24 16:51:44,745 INFO    SenderThread:28823 [dir_watcher.py:__init__():216] watching files in: /home/robotlabx/mtl-world/wandb/run-20230124_165144-drx43tz0/files
2023-01-24 16:51:44,746 INFO    SenderThread:28823 [sender.py:_start_run_threads():1065] run started: drx43tz0 with start time 1674575504.208148
2023-01-24 16:51:44,746 DEBUG   SenderThread:28823 [sender.py:send_request():361] send_request: summary_record
2023-01-24 16:51:44,746 INFO    SenderThread:28823 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-01-24 16:51:44,747 DEBUG   HandlerThread:28823 [handler.py:handle_request():144] handle_request: check_version
2023-01-24 16:51:44,747 DEBUG   SenderThread:28823 [sender.py:send_request():361] send_request: check_version
2023-01-24 16:51:44,929 DEBUG   HandlerThread:28823 [handler.py:handle_request():144] handle_request: run_start
2023-01-24 16:51:44,934 DEBUG   HandlerThread:28823 [system_info.py:__init__():31] System info init
2023-01-24 16:51:44,934 DEBUG   HandlerThread:28823 [system_info.py:__init__():46] System info init done
2023-01-24 16:51:44,934 INFO    HandlerThread:28823 [system_monitor.py:start():151] Starting system monitor
2023-01-24 16:51:44,934 INFO    SystemMonitor:28823 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-01-24 16:51:44,934 INFO    HandlerThread:28823 [system_monitor.py:probe():172] Collecting system info
2023-01-24 16:51:44,934 INFO    SystemMonitor:28823 [interfaces.py:start():168] Started cpu
2023-01-24 16:51:44,934 INFO    SystemMonitor:28823 [interfaces.py:start():168] Started disk
2023-01-24 16:51:44,935 INFO    SystemMonitor:28823 [interfaces.py:start():168] Started gpu
2023-01-24 16:51:44,935 INFO    SystemMonitor:28823 [interfaces.py:start():168] Started memory
2023-01-24 16:51:44,936 INFO    SystemMonitor:28823 [interfaces.py:start():168] Started network
2023-01-24 16:51:44,960 DEBUG   HandlerThread:28823 [system_info.py:probe():195] Probing system
2023-01-24 16:51:44,963 DEBUG   HandlerThread:28823 [system_info.py:_probe_git():180] Probing git
2023-01-24 16:51:44,971 DEBUG   HandlerThread:28823 [system_info.py:_probe_git():188] Probing git done
2023-01-24 16:51:44,971 DEBUG   HandlerThread:28823 [system_info.py:probe():241] Probing system done
