2023-01-24 16:59:40,909 INFO    StreamThr :1167 [internal.py:wandb_internal():87] W&B internal server running at pid: 1167, started at: 2023-01-24 16:59:40.909180
2023-01-24 16:59:40,911 DEBUG   HandlerThread:1167 [handler.py:handle_request():144] handle_request: status
2023-01-24 16:59:40,912 INFO    WriterThread:1167 [datastore.py:open_for_write():85] open: /home/robotlabx/mtl-world/wandb/run-20230124_165940-iza9u92k/run-iza9u92k.wandb
2023-01-24 16:59:40,912 DEBUG   SenderThread:1167 [sender.py:send():334] send: header
2023-01-24 16:59:40,922 DEBUG   SenderThread:1167 [sender.py:send():334] send: run
2023-01-24 16:59:41,418 INFO    SenderThread:1167 [dir_watcher.py:__init__():216] watching files in: /home/robotlabx/mtl-world/wandb/run-20230124_165940-iza9u92k/files
2023-01-24 16:59:41,418 INFO    SenderThread:1167 [sender.py:_start_run_threads():1065] run started: iza9u92k with start time 1674575980.909575
2023-01-24 16:59:41,418 DEBUG   SenderThread:1167 [sender.py:send_request():361] send_request: summary_record
2023-01-24 16:59:41,418 DEBUG   HandlerThread:1167 [handler.py:handle_request():144] handle_request: check_version
2023-01-24 16:59:41,418 INFO    SenderThread:1167 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-01-24 16:59:41,419 DEBUG   SenderThread:1167 [sender.py:send_request():361] send_request: check_version
2023-01-24 16:59:41,600 DEBUG   HandlerThread:1167 [handler.py:handle_request():144] handle_request: run_start
2023-01-24 16:59:41,605 DEBUG   HandlerThread:1167 [system_info.py:__init__():31] System info init
2023-01-24 16:59:41,605 DEBUG   HandlerThread:1167 [system_info.py:__init__():46] System info init done
2023-01-24 16:59:41,605 INFO    HandlerThread:1167 [system_monitor.py:start():151] Starting system monitor
2023-01-24 16:59:41,605 INFO    SystemMonitor:1167 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-01-24 16:59:41,606 INFO    HandlerThread:1167 [system_monitor.py:probe():172] Collecting system info
2023-01-24 16:59:41,606 INFO    SystemMonitor:1167 [interfaces.py:start():168] Started cpu
2023-01-24 16:59:41,606 INFO    SystemMonitor:1167 [interfaces.py:start():168] Started disk
2023-01-24 16:59:41,607 INFO    SystemMonitor:1167 [interfaces.py:start():168] Started gpu
2023-01-24 16:59:41,608 INFO    SystemMonitor:1167 [interfaces.py:start():168] Started memory
2023-01-24 16:59:41,609 INFO    SystemMonitor:1167 [interfaces.py:start():168] Started network
2023-01-24 16:59:41,642 DEBUG   HandlerThread:1167 [system_info.py:probe():195] Probing system
2023-01-24 16:59:41,647 DEBUG   HandlerThread:1167 [system_info.py:_probe_git():180] Probing git
2023-01-24 16:59:41,654 DEBUG   HandlerThread:1167 [system_info.py:_probe_git():188] Probing git done
2023-01-24 16:59:41,654 DEBUG   HandlerThread:1167 [system_info.py:probe():241] Probing system done
